Latitude (decimal degrees):	35.697
Longitude (decimal degrees):	104.011
Elevation (m):	3235
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220118:2130,0.0,0.0,0.0,-2.7,0.34,0.0
20220118:2230,0.0,0.0,0.0,-2.75,0.48,0.0
20220118:2330,0.0,0.0,0.0,-2.94,0.55,0.0
20220119:0030,4.32,13.77,2.51,-3.23,0.62,0.0
20220119:0130,30.11,47.7,12.82,-3.33,0.76,0.0
20220119:0230,629.68,730.86,21.78,-1.95,0.9,0.0
20220119:0330,776.24,927.02,28.75,2.35,1.79,0.0
20220119:0430,852.45,1035.07,32.98,4.93,2.41,0.0
20220119:0530,866.57,1054.52,33.84,6.55,2.97,0.0
20220119:0630,818.2,984.68,31.16,7.44,3.52,0.0
20220119:0730,703.88,826.54,25.41,7.21,4.41,0.0
20220119:0830,510.01,590.14,17.32,6.53,5.03,0.0
20220119:0930,238.96,290.84,7.59,4.71,4.62,0.0
20220119:1030,0.0,0.0,-3.23,1.02,4.34,0.0
20220119:1130,0.0,0.0,0.0,-2.2,3.93,0.0
20220119:1230,0.0,0.0,0.0,-3.98,3.66,0.0
20220119:1330,0.0,0.0,0.0,-5.03,3.59,0.0
20220119:1430,0.0,0.0,0.0,-5.69,3.52,0.0
20220119:1530,0.0,0.0,0.0,-6.06,3.45,0.0
20220119:1630,0.0,0.0,0.0,-6.17,3.31,0.0
20220119:1730,0.0,0.0,0.0,-6.19,3.17,0.0
20220119:1830,0.0,0.0,0.0,-6.18,2.97,0.0
20220119:1930,0.0,0.0,0.0,-5.89,2.83,0.0
20220119:2030,0.0,0.0,0.0,-5.8,2.69,0.0
20220119:2130,0.0,0.0,0.0,-6.16,2.34,0.0
20220119:2230,0.0,0.0,0.0,-6.18,1.86,0.0
20220119:2330,0.0,0.0,0.0,-6.04,1.24,0.0
20220120:0030,5.52,15.52,2.59,-6.24,0.9,0.0
20220120:0130,55.37,76.12,12.92,-5.92,0.48,0.0
20220120:0230,208.11,241.23,21.91,-4.31,0.34,0.0
20220120:0330,480.6,552.52,28.91,-2.83,0.07,0.0
20220120:0430,711.91,852.6,33.18,-0.76,0.41,0.0
20220120:0530,745.71,901.39,34.05,0.99,0.69,0.0
20220120:0630,662.64,797.0,31.39,2.15,0.48,0.0
20220120:0730,598.85,703.18,25.63,3.27,1.59,0.0
20220120:0830,449.0,520.07,17.53,3.4,2.21,0.0
20220120:0930,164.77,204.54,7.79,2.74,2.41,0.0
20220120:1030,0.0,0.0,-3.04,0.65,2.14,0.0
20220120:1130,0.0,0.0,0.0,-1.59,2.0,0.0
20220120:1230,0.0,0.0,0.0,-3.39,1.79,0.0
20220120:1330,0.0,0.0,0.0,-4.66,1.66,0.0
20220120:1430,0.0,0.0,0.0,-5.59,1.59,0.0
20220120:1530,0.0,0.0,0.0,-5.63,1.45,0.0
20220120:1630,0.0,0.0,0.0,-5.44,1.31,0.0
20220120:1730,0.0,0.0,0.0,-5.11,0.9,0.0
20220120:1830,0.0,0.0,0.0,-5.33,0.55,0.0
20220120:1930,0.0,0.0,0.0,-6.19,0.48,0.0
20220120:2030,0.0,0.0,0.0,-6.56,0.48,0.0
20220120:2130,0.0,0.0,0.0,-6.82,0.55,0.0
20220120:2230,0.0,0.0,0.0,-6.58,0.55,0.0
20220120:2330,0.0,0.0,0.0,-7.11,0.48,0.0
20220121:0030,5.55,15.52,2.68,-7.27,0.48,0.0
20220121:0130,62.8,84.17,13.03,-6.52,0.62,0.0
20220121:0230,289.77,327.3,22.05,-4.7,1.03,0.0
20220121:0330,552.77,628.34,29.08,-2.66,1.45,0.0
20220121:0430,659.04,765.19,33.38,-0.7,1.66,0.0
20220121:0530,690.19,809.28,34.28,0.74,1.79,0.0
20220121:0630,755.33,892.58,31.62,1.8,2.07,0.0
20220121:0730,681.9,795.27,25.86,1.91,2.28,0.0
20220121:0830,503.48,577.77,17.74,1.96,2.76,0.0
20220121:0930,229.25,276.51,7.99,1.28,2.76,0.0
20220121:1030,0.0,0.0,-2.86,-0.34,2.28,0.0
20220121:1130,0.0,0.0,0.0,-2.51,2.34,0.0
20220121:1230,0.0,0.0,0.0,-4.16,2.34,0.0
20220121:1330,0.0,0.0,0.0,-5.22,2.48,0.0
20220121:1430,0.0,0.0,0.0,-5.88,2.48,0.0
20220121:1530,0.0,0.0,0.0,-6.3,2.21,0.0
20220121:1630,0.0,0.0,0.0,-6.62,1.93,0.0
20220121:1730,0.0,0.0,0.0,-6.43,1.86,0.0
20220121:1830,0.0,0.0,0.0,-6.46,1.86,0.0
20220121:1930,0.0,0.0,0.0,-5.51,1.93,0.0
20220121:2030,0.0,0.0,0.0,-5.83,1.66,0.0
20220121:2130,0.0,0.0,0.0,-5.41,1.86,0.0
20220121:2230,0.0,0.0,0.0,-5.32,1.66,0.0
20220121:2330,0.0,0.0,0.0,-5.34,1.72,0.0
20220122:0030,2.54,10.67,2.77,-5.61,1.31,0.0
20220122:0130,54.27,74.98,13.15,-5.26,1.66,0.0
20220122:0230,325.31,365.2,22.19,-4.4,1.31,0.0
20220122:0330,427.66,484.73,29.26,-3.07,0.76,0.0
20220122:0430,621.46,730.4,33.59,-1.44,0.28,0.0
20220122:0530,648.14,771.67,34.51,-0.14,0.21,0.0
20220122:0630,384.51,443.18,31.86,0.78,0.76,0.0
20220122:0730,374.76,427.53,26.08,-0.39,1.1,0.0
20220122:0830,239.55,277.69,17.95,-0.23,1.52,0.0
20220122:0930,109.39,139.56,8.19,-0.85,2.14,0.0
20220122:1030,0.0,0.0,-2.67,-1.83,2.14,0.0
20220122:1130,0.0,0.0,0.0,-3.32,2.28,0.0
20220122:1230,0.0,0.0,0.0,-4.07,1.93,0.0
20220122:1330,0.0,0.0,0.0,-4.62,1.45,0.0
20220122:1430,0.0,0.0,0.0,-4.72,0.9,0.0
20220122:1530,0.0,0.0,0.0,-5.15,0.9,0.0
20220122:1630,0.0,0.0,0.0,-5.53,1.17,0.0
20220122:1730,0.0,0.0,0.0,-6.02,1.31,0.0
20220122:1830,0.0,0.0,0.0,-6.54,1.24,0.0
20220122:1930,0.0,0.0,0.0,-6.25,1.24,0.0
20220122:2030,0.0,0.0,0.0,-6.28,1.17,0.0
20220122:2130,0.0,0.0,0.0,-6.86,1.17,0.0
20220122:2230,0.0,0.0,0.0,-7.51,0.97,0.0
20220122:2330,0.0,0.0,0.0,-7.91,0.69,0.0
20220123:0030,8.65,19.98,2.87,-8.07,0.76,0.0
20220123:0130,69.62,91.34,13.27,-7.43,0.62,0.0
20220123:0230,323.71,365.0,22.34,-5.21,0.62,0.0
20220123:0330,404.58,456.62,29.45,-3.88,1.03,0.0
20220123:0430,488.59,556.41,33.8,-2.88,1.1,0.0
20220123:0530,561.59,646.87,34.74,-2.2,0.9,0.0
20220123:0630,625.27,724.45,32.1,-1.57,1.1,0.0
20220123:0730,556.71,636.38,26.32,-0.54,1.93,0.0
20220123:0830,450.58,511.56,18.17,-0.66,2.28,0.0
20220123:0930,220.31,263.0,8.39,-1.21,2.62,0.0
20220123:1030,0.0,0.0,-2.47,-2.62,2.14,0.0
20220123:1130,0.0,0.0,0.0,-4.26,1.93,0.0
20220123:1230,0.0,0.0,0.0,-5.21,1.59,0.0
20220123:1330,0.0,0.0,0.0,-6.49,1.17,0.0
20220123:1430,0.0,0.0,0.0,-7.04,1.1,0.0
20220123:1530,0.0,0.0,0.0,-7.51,1.1,0.0
20220123:1630,0.0,0.0,0.0,-7.83,1.1,0.0
20220123:1730,0.0,0.0,0.0,-8.14,1.1,0.0
20220123:1830,0.0,0.0,0.0,-8.48,1.24,0.0
20220123:1930,0.0,0.0,0.0,-7.95,1.38,0.0
20220123:2030,0.0,0.0,0.0,-8.33,1.31,0.0
20220123:2130,0.0,0.0,0.0,-8.61,1.31,0.0
20220123:2230,0.0,0.0,0.0,-8.75,1.1,0.0
20220123:2330,0.0,0.0,0.0,-8.91,0.83,0.0
20220124:0030,5.89,15.92,2.97,-9.28,0.62,0.0
20220124:0130,47.05,66.07,13.4,-8.8,0.41,0.0
20220124:0230,449.52,499.84,22.5,-6.87,0.9,0.0
20220124:0330,553.67,620.2,29.64,-4.9,1.59,0.0
20220124:0430,630.34,716.48,34.02,-3.61,1.72,0.0
20220124:0530,566.55,646.28,34.98,-2.37,1.59,0.0
20220124:0630,482.45,549.57,32.34,-1.37,1.52,0.0
20220124:0730,406.49,461.76,26.55,-1.64,1.38,0.0
20220124:0830,292.39,333.87,18.4,-1.33,1.79,0.0
20220124:0930,92.37,119.87,8.6,-1.61,2.21,0.0
20220124:1030,0.0,0.0,-2.28,-2.69,2.55,0.0
20220124:1130,0.0,0.0,0.0,-4.79,2.41,0.0
20220124:1230,0.0,0.0,0.0,-5.85,1.86,0.0
20220124:1330,0.0,0.0,0.0,-6.38,1.31,0.0
20220124:1430,0.0,0.0,0.0,-6.94,1.03,0.0
20220124:1530,0.0,0.0,0.0,-7.06,0.9,0.0
20220124:1630,0.0,0.0,0.0,-7.21,0.83,0.0
20220124:1730,0.0,0.0,0.0,-7.39,0.97,0.0
20220124:1830,0.0,0.0,0.0,-7.25,1.17,0.0
20220124:1930,0.0,0.0,0.0,-7.17,0.83,0.0
20220124:2030,0.0,0.0,0.0,-7.13,0.76,0.0
20220124:2130,0.0,0.0,0.0,-7.13,0.9,0.0
20220124:2230,0.0,0.0,0.0,-7.13,1.03,0.0
20220124:2330,0.0,0.0,0.0,-7.46,1.38,0.0
20220125:0030,7.0,17.62,3.08,-8.12,1.59,0.0
20220125:0130,49.34,68.73,13.53,-7.98,1.59,0.0
20220125:0230,544.86,599.1,22.67,-5.91,3.45,0.0
20220125:0330,616.34,680.86,29.84,-3.98,4.55,0.0
20220125:0430,658.88,734.8,34.25,-2.61,4.9,0.0
20220125:0530,611.62,683.47,35.23,-1.45,5.17,0.0
20220125:0630,495.34,552.04,32.59,-0.75,5.17,0.0
20220125:0730,398.68,444.86,26.8,-0.89,4.48,0.0
20220125:0830,203.03,235.87,18.62,-1.11,4.62,0.0
20220125:0930,124.36,154.47,8.81,-2.25,4.83,0.0
20220125:1030,0.0,0.0,-2.09,-3.75,4.34,0.0
20220125:1130,0.0,0.0,0.0,-5.14,3.59,0.0
20220125:1230,0.0,0.0,0.0,-5.59,2.76,0.0
20220125:1330,0.0,0.0,0.0,-5.81,2.21,0.0
20220125:1430,0.0,0.0,0.0,-6.04,1.66,0.0
20220125:1530,0.0,0.0,0.0,-6.19,1.38,0.0
20220125:1630,0.0,0.0,0.0,-6.29,0.83,0.0
20220125:1730,0.0,0.0,0.0,-6.49,0.0,0.0
20220125:1830,0.0,0.0,0.0,-6.72,0.28,0.0
20220125:1930,0.0,0.0,0.0,-7.09,0.69,0.0
20220125:2030,0.0,0.0,0.0,-7.27,0.76,0.0
20220125:2130,0.0,0.0,0.0,-7.43,0.9,0.0
20220125:2230,0.0,0.0,0.0,-7.26,1.03,0.0
20220125:2330,0.0,0.0,0.0,-7.18,1.38,0.0
20220126:0030,9.64,21.42,3.2,-7.18,1.52,0.0
20220126:0130,48.07,67.6,13.67,-6.99,1.38,0.0
20220126:0230,444.74,493.78,22.84,-5.87,1.52,0.0
20220126:0330,528.92,595.0,30.04,-4.74,1.31,0.0
20220126:0430,528.86,598.39,34.49,-3.57,1.45,0.0
20220126:0530,509.08,575.51,35.48,-2.6,2.0,0.0
20220126:0630,342.26,388.04,32.85,-1.93,2.07,0.0
20220126:0730,365.83,409.61,27.04,-2.5,2.9,0.0
20220126:0830,194.7,225.87,18.85,-2.58,3.1,0.0
20220126:0930,90.59,116.77,9.02,-3.4,3.24,0.0
20220126:1030,0.0,0.0,-1.89,-4.29,2.9,0.0
20220126:1130,0.0,0.0,0.0,-5.4,2.41,0.0
20220126:1230,0.0,0.0,0.0,-6.16,2.41,0.0
20220126:1330,0.0,0.0,0.0,-6.57,2.41,0.0
20220126:1430,0.0,0.0,0.0,-6.94,2.21,0.0
20220126:1530,0.0,0.0,0.0,-7.25,2.14,0.0
20220126:1630,0.0,0.0,0.0,-7.51,2.0,0.0
20220126:1730,0.0,0.0,0.0,-7.84,1.59,0.0
20220126:1830,0.0,0.0,0.0,-8.07,1.31,0.0
20220126:1930,0.0,0.0,0.0,-8.28,1.66,0.0
20220126:2030,0.0,0.0,0.0,-8.88,1.45,0.0
20220126:2130,0.0,0.0,0.0,-9.32,1.03,0.0
20220126:2230,0.0,0.0,0.0,-9.58,1.17,0.0
20220126:2330,0.0,0.0,0.0,-9.55,1.52,0.0
20220127:0030,9.47,21.03,3.32,-9.33,1.79,0.0
20220127:0130,70.19,91.16,13.82,-9.17,1.86,0.0
20220127:0230,157.35,183.23,23.01,-8.38,2.0,0.0
20220127:0330,283.18,315.6,30.25,-7.53,2.34,0.0
20220127:0430,258.64,291.74,34.72,-6.56,2.28,0.0
20220127:0530,250.11,283.43,35.74,-6.1,2.41,0.0
20220127:0630,209.25,240.05,33.11,-5.75,2.69,0.0
20220127:0730,133.43,160.05,27.29,-5.67,2.83,0.0
20220127:0830,60.29,81.31,19.08,-6.05,2.97,0.0
20220127:0930,28.55,45.33,9.23,-6.69,3.1,0.0
20220127:1030,0.0,0.0,-1.69,-7.65,2.9,0.0
20220127:1130,0.0,0.0,0.0,-8.22,2.55,0.0
20220127:1230,0.0,0.0,0.0,-8.66,2.34,0.0
20220127:1330,0.0,0.0,0.0,-9.08,2.21,0.0
20220127:1430,0.0,0.0,0.0,-9.44,2.07,0.0
20220127:1530,0.0,0.0,0.0,-9.83,2.07,0.0
20220127:1630,0.0,0.0,0.0,-9.97,1.93,0.0
20220127:1730,0.0,0.0,0.0,-10.26,1.79,0.0
20220127:1830,0.0,0.0,0.0,-10.57,1.45,0.0
20220127:1930,0.0,0.0,0.0,-10.98,1.79,0.0
20220127:2030,0.0,0.0,0.0,-11.56,1.59,0.0
20220127:2130,0.0,0.0,0.0,-11.41,1.1,0.0
20220127:2230,0.0,0.0,0.0,-10.69,0.69,0.0
20220127:2330,0.0,0.0,0.0,-10.89,1.03,0.0
20220128:0030,10.37,22.08,3.45,-11.62,1.31,0.0
20220128:0130,73.49,93.87,13.97,-11.65,1.38,0.0
20220128:0230,355.72,390.26,23.19,-10.34,1.1,0.0
20220128:0330,652.69,734.97,30.46,-9.22,0.76,0.0
20220128:0430,703.66,803.43,34.97,-7.12,1.03,0.0
20220128:0530,738.87,856.1,36.0,-6.22,0.83,0.0
20220128:0630,693.11,803.7,33.37,-5.34,0.62,0.0
20220128:0730,620.7,703.94,27.54,-4.71,1.38,0.0
20220128:0830,403.53,453.68,19.31,-4.44,1.24,0.0
20220128:0930,187.87,223.33,9.45,-4.75,1.31,0.0
20220128:1030,0.0,0.0,-1.5,-6.16,1.45,0.0
20220128:1130,0.0,0.0,0.0,-8.31,1.59,0.0
20220128:1230,0.0,0.0,0.0,-7.62,1.52,0.0
20220128:1330,0.0,0.0,0.0,-8.39,1.79,0.0
20220128:1430,0.0,0.0,0.0,-10.92,2.21,0.0
20220128:1530,0.0,0.0,0.0,-10.25,2.07,0.0
20220128:1630,0.0,0.0,0.0,-9.56,1.93,0.0
20220128:1730,0.0,0.0,0.0,-10.26,2.0,0.0
20220128:1830,0.0,0.0,0.0,-10.13,1.79,0.0
20220128:1930,0.0,0.0,0.0,-10.52,0.97,0.0
20220128:2030,0.0,0.0,0.0,-10.87,0.97,0.0
20220128:2130,0.0,0.0,0.0,-11.21,0.97,0.0
20220128:2230,0.0,0.0,0.0,-11.51,1.03,0.0
20220128:2330,0.0,0.0,0.0,-11.79,1.24,0.0
20220129:0030,7.1,17.53,3.58,-12.04,1.24,0.0
20220129:0130,35.83,52.86,14.13,-11.28,0.9,0.0
20220129:0230,644.58,721.53,23.38,-8.63,1.17,0.0
20220129:0330,792.6,917.13,30.68,-6.06,1.24,0.0
20220129:0430,865.54,1031.06,35.22,-4.0,1.1,0.0
20220129:0530,877.36,1061.07,36.27,-2.44,0.97,0.0
20220129:0630,832.79,1001.76,33.64,-1.29,1.03,0.0
20220129:0730,729.11,852.39,27.79,-0.9,1.59,0.0
20220129:0830,547.19,623.73,19.55,-0.43,2.48,0.0
20220129:0930,269.61,318.02,9.66,-0.72,2.97,0.0
20220129:1030,0.0,0.0,-1.3,-2.19,1.72,0.0
20220129:1130,0.0,0.0,0.0,-4.43,2.0,0.0
20220129:1230,0.0,0.0,0.0,-6.64,2.55,0.0
20220129:1330,0.0,0.0,0.0,-7.87,2.34,0.0
20220129:1430,0.0,0.0,0.0,-8.61,1.79,0.0
20220129:1530,0.0,0.0,0.0,-9.12,1.1,0.0
20220129:1630,0.0,0.0,0.0,-8.77,0.83,0.0
20220129:1730,0.0,0.0,0.0,-8.4,0.69,0.0
20220129:1830,0.0,0.0,0.0,-8.42,0.69,0.0
20220129:1930,0.0,0.0,0.0,-9.3,0.62,0.0
20220129:2030,0.0,0.0,0.0,-10.15,0.9,0.0
20220129:2130,0.0,0.0,0.0,-10.63,1.31,0.0
20220129:2230,0.0,0.0,0.0,-10.75,1.79,0.0
20220129:2330,0.0,0.0,0.0,-11.24,1.86,0.0
20220130:0030,7.43,18.01,3.72,-11.75,1.86,0.0
20220130:0130,36.56,53.69,14.29,-11.08,1.72,0.0
20220130:0230,645.19,707.81,23.57,-9.12,2.62,0.0
20220130:0330,727.69,806.2,30.91,-8.01,2.97,0.0
20220130:0430,822.81,925.71,35.48,-7.18,3.1,0.0
20220130:0530,871.48,999.77,36.55,-6.28,2.48,0.0
20220130:0630,833.09,960.99,33.91,-5.43,2.0,0.0
20220130:0730,731.68,830.92,28.05,-4.42,2.34,0.0
20220130:0830,548.86,611.7,19.78,-4.52,2.83,0.0
20220130:0930,280.6,323.27,9.88,-5.29,3.45,0.0
20220130:1030,0.0,0.0,-1.09,-6.73,3.31,0.0
20220130:1130,0.0,0.0,0.0,-8.44,2.9,0.0
20220130:1230,0.0,0.0,0.0,-9.51,2.55,0.0
20220130:1330,0.0,0.0,0.0,-10.18,2.21,0.0
20220130:1430,0.0,0.0,0.0,-10.65,2.07,0.0
20220130:1530,0.0,0.0,0.0,-11.06,2.0,0.0
20220130:1630,0.0,0.0,0.0,-11.45,1.86,0.0
20220130:1730,0.0,0.0,0.0,-11.81,1.66,0.0
20220130:1830,0.0,0.0,0.0,-12.2,1.66,0.0
20220130:1930,0.0,0.0,0.0,-12.22,2.0,0.0
20220130:2030,0.0,0.0,0.0,-12.57,1.79,0.0
20220130:2130,0.0,0.0,0.0,-12.95,1.45,0.0
20220130:2230,0.0,0.0,0.0,-13.26,1.45,0.0
20220130:2330,0.0,0.0,0.0,-13.58,1.24,0.0
20220131:0030,12.48,24.7,3.86,-13.68,0.76,0.0
20220131:0130,69.67,89.59,14.46,-12.51,0.69,0.0
20220131:0230,475.68,520.59,23.77,-10.57,1.17,0.0
20220131:0330,472.97,523.14,31.14,-8.76,1.03,0.0
20220131:0430,481.74,535.99,35.74,-7.45,0.9,0.0
20220131:0530,733.46,846.34,36.83,-6.44,0.9,0.0
20220131:0630,743.76,867.55,34.19,-4.92,0.83,0.0
20220131:0730,706.16,823.53,28.31,-3.99,0.69,0.0
20220131:0830,535.79,609.26,20.02,-3.56,1.17,0.0
20220131:0930,272.72,318.53,10.1,-3.67,1.93,0.0
20220131:1030,0.0,0.0,-0.89,-4.63,2.07,0.0
20220131:1130,0.0,0.0,0.0,-6.48,2.28,0.0
20220131:1230,0.0,0.0,0.0,-7.94,2.41,0.0
20220131:1330,0.0,0.0,0.0,-8.92,2.62,0.0
20220131:1430,0.0,0.0,0.0,-9.54,2.41,0.0
20220131:1530,0.0,0.0,0.0,-9.9,1.93,0.0
20220131:1630,0.0,0.0,0.0,-10.13,1.38,0.0
20220131:1730,0.0,0.0,0.0,-10.11,1.59,0.0
20220131:1830,0.0,0.0,0.0,-10.33,1.66,0.0
20220131:1930,0.0,0.0,0.0,-10.95,1.03,0.0
20220131:2030,0.0,0.0,0.0,-11.23,0.97,0.0
20220131:2130,0.0,0.0,0.0,-11.48,0.83,0.0
20220131:2230,0.0,0.0,0.0,-11.67,0.55,0.0
20220131:2330,0.0,0.0,0.0,-11.82,0.41,0.0
20220201:0030,12.68,25.14,4.01,-11.66,0.34,0.0
20220201:0130,84.53,105.9,14.63,-11.44,0.34,0.0
20220201:0230,350.18,388.02,23.97,-9.79,0.21,0.0
20220201:0330,533.32,599.78,31.38,-8.0,0.41,0.0
20220201:0430,731.58,845.44,36.01,-6.23,0.83,0.0
20220201:0530,731.14,847.38,37.11,-4.75,1.03,0.0
20220201:0630,656.31,756.06,34.47,-3.65,1.17,0.0
20220201:0730,615.8,696.46,28.57,-3.32,2.21,0.0
20220201:0830,413.56,462.43,20.26,-3.22,2.69,0.0
20220201:0930,189.2,224.19,10.32,-3.77,3.1,0.0
20220201:1030,0.0,0.0,-0.69,-5.12,3.17,0.0
20220201:1130,0.0,0.0,0.0,-6.89,2.48,0.0
20220201:1230,0.0,0.0,0.0,-7.92,1.86,0.0
20220201:1330,0.0,0.0,0.0,-8.41,1.38,0.0
20220201:1430,0.0,0.0,0.0,-8.9,1.03,0.0
20220201:1530,0.0,0.0,0.0,-9.13,0.83,0.0
20220201:1630,0.0,0.0,0.0,-9.21,0.9,0.0
20220201:1730,0.0,0.0,0.0,-9.39,0.9,0.0
20220201:1830,0.0,0.0,0.0,-9.58,0.69,0.0
20220201:1930,0.0,0.0,0.0,-9.79,0.76,0.0
20220201:2030,0.0,0.0,0.0,-9.79,0.48,0.0
20220201:2130,0.0,0.0,0.0,-9.9,0.21,0.0
20220201:2230,0.0,0.0,0.0,-10.09,0.21,0.0
20220201:2330,0.0,0.0,0.0,-10.25,0.48,0.0
20220202:0030,16.07,29.6,4.16,-10.34,0.69,0.0
20220202:0130,81.77,103.58,14.81,-9.66,0.83,0.0
20220202:0230,442.64,488.56,24.18,-7.56,1.66,0.0
20220202:0330,584.19,652.56,31.62,-5.58,2.28,0.0
20220202:0430,709.96,806.05,36.28,-3.92,2.69,0.0
20220202:0530,739.81,843.2,37.4,-2.62,3.17,0.0
20220202:0630,822.76,945.94,34.75,-1.78,3.45,0.0
20220202:0730,743.55,846.29,28.84,-1.43,3.52,0.0
20220202:0830,549.94,617.25,20.51,-1.45,3.79,0.0
20220202:0930,282.95,329.23,10.54,-2.16,4.14,0.0
20220202:1030,0.0,0.0,-0.49,-3.83,3.45,0.0
20220202:1130,0.0,0.0,0.0,-6.1,2.97,0.0
20220202:1230,0.0,0.0,0.0,-7.4,2.83,0.0
20220202:1330,0.0,0.0,0.0,-8.22,2.69,0.0
20220202:1430,0.0,0.0,0.0,-8.74,2.41,0.0
20220202:1530,0.0,0.0,0.0,-9.1,2.28,0.0
20220202:1630,0.0,0.0,0.0,-9.34,2.07,0.0
20220202:1730,0.0,0.0,0.0,-9.57,1.86,0.0
20220202:1830,0.0,0.0,0.0,-9.83,1.72,0.0
20220202:1930,0.0,0.0,0.0,-9.86,1.17,0.0
20220202:2030,0.0,0.0,0.0,-9.92,1.24,0.0
20220202:2130,0.0,0.0,0.0,-10.17,0.97,0.0
20220202:2230,0.0,0.0,0.0,-10.49,0.69,0.0
20220202:2330,0.0,0.0,0.0,-10.69,0.34,0.0
20220203:0030,9.22,20.59,4.32,-10.82,0.21,0.0
20220203:0130,50.42,69.39,14.99,-10.4,0.41,0.0
20220203:0230,599.31,672.66,24.4,-7.4,1.03,0.0
20220203:0330,789.67,908.18,31.87,-4.47,2.0,0.0
20220203:0430,904.87,1057.4,36.56,-2.31,2.9,0.0
20220203:0530,921.24,1077.24,37.69,-1.11,3.45,0.0
20220203:0630,855.96,992.67,35.04,-0.66,3.52,0.0
20220203:0730,756.78,857.46,29.11,-1.69,4.0,0.0
20220203:0830,559.68,624.78,20.75,-2.14,4.21,0.0
20220203:0930,290.96,336.64,10.76,-3.2,4.0,0.0
20220203:1030,0.0,0.0,-0.28,-4.69,2.97,0.0
20220203:1130,0.0,0.0,0.0,-6.61,2.28,0.0
20220203:1230,0.0,0.0,0.0,-7.76,2.07,0.0
20220203:1330,0.0,0.0,0.0,-8.51,1.66,0.0
20220203:1430,0.0,0.0,0.0,-9.18,1.24,0.0
20220203:1530,0.0,0.0,0.0,-9.59,1.24,0.0
20220203:1630,0.0,0.0,0.0,-9.79,1.38,0.0
20220203:1730,0.0,0.0,0.0,-10.02,1.31,0.0
20220203:1830,0.0,0.0,0.0,-10.17,1.24,0.0
20220203:1930,0.0,0.0,0.0,-9.94,1.17,0.0
20220203:2030,0.0,0.0,0.0,-10.31,1.1,0.0
20220203:2130,0.0,0.0,0.0,-10.47,0.97,0.0
20220203:2230,0.0,0.0,0.0,-10.8,0.83,0.0
20220203:2330,0.0,0.0,0.0,-11.11,0.83,0.0
20220204:0030,11.0,22.95,4.48,-11.3,0.76,0.0
20220204:0130,44.17,62.35,15.18,-10.77,0.69,0.0
20220204:0230,633.7,702.2,24.62,-8.45,1.93,0.0
20220204:0330,787.56,887.15,32.13,-6.45,2.76,0.0
20220204:0430,817.73,926.64,36.85,-4.4,3.59,0.0
20220204:0530,862.98,984.95,37.99,-3.03,4.07,0.0
20220204:0630,816.08,929.41,35.33,-2.16,4.07,0.0
20220204:0730,681.02,764.97,29.38,-2.31,3.93,0.0
20220204:0830,482.75,537.28,21.0,-2.47,4.14,0.0
20220204:0930,266.02,308.62,10.98,-3.21,4.07,0.0
20220204:1030,0.0,0.0,-0.08,-4.65,4.0,0.0
20220204:1130,0.0,0.0,0.0,-6.65,4.07,0.0
20220204:1230,0.0,0.0,0.0,-7.81,3.59,0.0
20220204:1330,0.0,0.0,0.0,-8.59,3.03,0.0
20220204:1430,0.0,0.0,0.0,-8.95,2.76,0.0
20220204:1530,0.0,0.0,0.0,-9.14,2.9,0.0
20220204:1630,0.0,0.0,0.0,-9.49,3.1,0.0
20220204:1730,0.0,0.0,0.0,-9.81,3.1,0.0
20220204:1830,0.0,0.0,0.0,-10.33,2.83,0.0
20220204:1930,0.0,0.0,0.0,-10.18,2.62,0.0
20220204:2030,0.0,0.0,0.0,-10.33,2.62,0.0
20220204:2130,0.0,0.0,0.0,-10.64,2.48,0.0
20220204:2230,0.0,0.0,0.0,-10.75,2.34,0.0
20220204:2330,0.0,0.0,0.0,-10.66,2.48,0.0
20220205:0030,10.71,22.6,4.65,-10.58,2.9,0.0
20220205:0130,72.9,93.57,15.38,-10.17,3.38,0.0
20220205:0230,386.51,418.93,24.84,-9.03,3.79,0.0
20220205:0330,528.43,574.47,32.39,-7.58,3.93,0.0
20220205:0430,545.31,597.52,37.13,-6.26,4.0,0.0
20220205:0530,435.07,478.84,38.29,-5.2,4.14,0.0
20220205:0630,414.5,457.65,35.63,-4.77,4.14,0.0
20220205:0730,393.35,435.09,29.65,-4.88,3.93,0.0
20220205:0830,247.53,279.11,21.25,-4.8,4.0,0.0
20220205:0930,79.89,103.27,11.21,-5.39,4.07,0.0
20220205:1030,0.88,7.46,0.13,-6.47,4.0,0.0
20220205:1130,0.0,0.0,0.0,-7.55,3.66,0.0
20220205:1230,0.0,0.0,0.0,-8.23,3.38,0.0
20220205:1330,0.0,0.0,0.0,-8.55,3.03,0.0
20220205:1430,0.0,0.0,0.0,-8.86,2.9,0.0
20220205:1530,0.0,0.0,0.0,-9.57,2.69,0.0
20220205:1630,0.0,0.0,0.0,-9.99,2.41,0.0
20220205:1730,0.0,0.0,0.0,-10.25,2.21,0.0
20220205:1830,0.0,0.0,0.0,-10.43,2.34,0.0
20220205:1930,0.0,0.0,0.0,-11.25,1.86,0.0
20220205:2030,0.0,0.0,0.0,-11.49,1.66,0.0
